    355  6  5  400   2 2s2p(3PO) 4p     1.75316E-01  4.0
    356  6  5  400   3 2s2p(3PO) 5p     2.92344E-01  4.0
    357  6  5  400   4 2s2p(3PO) 6p     3.52314E-01  4.0
    358  6  5  400   5 2s2p(3PO) 7p     3.87254E-01  4.0
    359  6  5  400   6 2s2p(3PO) 8p     4.09394E-01  4.0
    360  6  5  400   7 2s2p(3PO) 9p     4.24303E-01  4.0
    361  6  5  400   8 2s2p(3PO)10p     4.34820E-01  4.0
    362  6  5  401   1 2p3             -4.87900E-01  4.0
    363  6  5  401   2 2p2(3PE) 3p      7.15475E-01  4.0
    364  6  5  401   3 2p2(3PE) 4p      9.71876E-01  4.0
    365  6  5  401   4 2p2(3PE) 5p      1.08095E+00  4.0
    366  6  5  401   5 2p2(3PE) 6p      1.13804E+00  4.0
    367  6  5  401   6 2p2(3PE) 7p      1.17158E+00  4.0
    368  6  5  401   7 2p2(3PE) 8p      1.19295E+00  4.0
    369  6  5  401   8 2p2(3PE) 9p      1.20740E+00  4.0
    370  6  5  401   9 2p2(3PE)10p      1.21762E+00  4.0
    371  6  5  410   1 2s 2p2          -1.39940E+00 12.0
    372  6  5  410   2 2s2p(3PO) 3p    -9.01524E-02 12.0
    373  6  5  410   3 2s2p(3PO) 4p     1.81062E-01 12.0
    374  6  5  410   4 2s2p(3PO) 5p     2.94811E-01 12.0
    375  6  5  410   5 2s2p(3PO) 6p     3.53730E-01 12.0
    376  6  5  410   6 2s2p(3PO) 7p     3.88147E-01 12.0
    377  6  5  410   7 2s2p(3PO) 8p     4.09991E-01 12.0
    378  6  5  410   8 2s2p(3PO) 9p     4.24720E-01 12.0
    379  6  5  410   9 2s2p(3PO)10p     4.35122E-01 12.0
    380  6  5  411   1 2s2p(3PO) 3s    -2.67141E-01 12.0
    381  6  5  411   2 2s2p(3PO) 3d     2.35298E-02 12.0
    382  6  5  411   3 2s2p(3PO) 4s     1.18862E-01 12.0
    383  6  5  411   4 2s2p(3PO) 4d     2.20992E-01 12.0
    384  6  5  411   5 2s2p(3PO) 5s     2.66041E-01 12.0
    385  6  5  411   6 2s2p(3PO) 5d     3.14022E-01 12.0
    386  6  5  411   7 2s2p(3PO) 6s     3.38021E-01 12.0
    387  6  5  411   8 2s2p(3PO) 6d     3.64385E-01 12.0
    388  6  5  411   9 2s2p(3PO) 7s     3.78631E-01 12.0
    389  6  5  411  10 2s2p(3PO) 7d     3.94667E-01 12.0
    390  6  5  411  11 2s2p(3PO) 8s     4.03794E-01 12.0
    391  6  5  411  12 2s2p(3PO) 8d     4.14273E-01 12.0
    392  6  5  411  13 2s2p(3PO) 9s     4.20461E-01 12.0
    393  6  5  411  14 2s2p(3PO) 9d     4.27685E-01 12.0
    394  6  5  411  15 2s2p(3PO)10s     4.32070E-01 12.0
    395  6  5  411  16 2s2p(3PO)10d     4.37260E-01 12.0
    396  6  5  420   1 2s2p(3PO) 3p    -1.34692E-01 20.0
    397  6  5  420   2 2s2p(3PO) 4p     1.65933E-01 20.0
    398  6  5  420   3 2s2p(3PO) 4f     2.29186E-01 20.0
    399  6  5  420   4 2s2p(3PO) 5p     2.87927E-01 20.0
    400  6  5  420   5 2s2p(3PO) 5f     3.18268E-01 20.0
    401  6  5  420   6 2s2p(3PO) 6p     3.49954E-01 20.0
    402  6  5  420   7 2s2p(3PO) 6f     3.66870E-01 20.0
    403  6  5  420   8 2s2p(3PO) 7p     3.85848E-01 20.0
    404  6  5  420   9 2s2p(3PO) 7f     3.96250E-01 20.0
    405  6  5  420  10 2s2p(3PO) 8p     4.08487E-01 20.0
    406  6  5  420  11 2s2p(3PO) 8f     4.15342E-01 20.0
    407  6  5  420  12 2s2p(3PO) 9p     4.23684E-01 20.0
    408  6  5  420  13 2s2p(3PO) 9f     4.28439E-01 20.0
    409  6  5  420  14 2s2p(3PO)10p     4.34377E-01 20.0
    410  6  5  421   1 2s2p(3PO) 3d     1.00906E-03 20.0
    411  6  5  421   2 2s2p(3PO) 4d     2.14838E-01 20.0
    412  6  5  421   3 2s2p(3PO) 5d     3.11114E-01 20.0
    413  6  5  421   4 2s2p(3PO) 6d     3.62847E-01 20.0
    414  6  5  421   5 2s2p(3PO) 7d     3.93761E-01 20.0
    415  6  5  421   6 2s2p(3PO) 8d     4.13694E-01 20.0
    416  6  5  421   7 2s2p(3PO) 9d     4.27291E-01 20.0
    417  6  5  421   8 2s2p(3PO)10d     4.36980E-01 20.0
    418  6  5  430   1 2s2p(3PO) 4f     2.23012E-01 28.0
    419  6  5  430   2 2s2p(3PO) 5f     3.15323E-01 28.0
    420  6  5  430   3 2s2p(3PO) 6f     3.65225E-01 28.0
    421  6  5  430   4 2s2p(3PO) 7f     3.95220E-01 28.0
    422  6  5  430   5 2s2p(3PO) 8f     4.14650E-01 28.0
    423  6  5  430   6 2s2p(3PO) 9f     4.27952E-01 28.0
    424  6  5  430   7 2s2p(3PO)10f     4.37455E-01 28.0
    425  6  5  431   1 2s2p(3PO) 3d    -8.16360E-03 28.0
    426  6  5  431   2 2s2p(3PO) 4d     2.08837E-01 28.0
    427  6  5  431   3 2s2p(3PO) 5d     3.07979E-01 28.0
    428  6  5  431   4 2s2p(3PO) 5g     3.18090E-01 28.0
    429  6  5  431   5 2s2p(3PO) 6d     3.60984E-01 28.0
    430  6  5  431   6 2s2p(3PO) 6g     3.66885E-01 28.0
    431  6  5  431   7 2s2p(3PO) 7d     3.92571E-01 28.0
    432  6  5  431   8 2s2p(3PO) 7g     3.96295E-01 28.0
    433  6  5  431   9 2s2p(3PO) 8d     4.12891E-01 28.0
    434  6  5  431  10 2s2p(3PO) 8g     4.15384E-01 28.0
    435  6  5  431  11 2s2p(3PO) 9d     4.26725E-01 28.0
    436  6  5  431  12 2s2p(3PO) 9g     4.28475E-01 28.0
    437  6  5  431  13 2s2p(3PO)10d     4.36566E-01 28.0
